Time,VehicleID,Speed,PositionX,PositionY,DetectedObjects,TTC,SubCauseCode,DangerVehicleID
19.486,vehA,26.572,2930.093,7201.303,0,N/A,0,N/A
19.586,vehA,26.655,2931.089,7198.830,0,N/A,0,N/A
19.686,vehA,26.743,2932.088,7196.350,0,N/A,0,N/A
19.786,vehA,26.804,2933.089,7193.863,0,N/A,0,N/A
19.886,vehA,26.883,2934.094,7191.370,0,N/A,0,N/A
19.986,vehA,26.966,2935.101,7188.868,0,N/A,0,N/A
20.086,vehA,27.029,2936.111,7186.361,0,N/A,0,N/A
20.186,vehA,27.098,2937.124,7183.848,0,N/A,0,N/A
20.286,vehA,27.175,2938.139,7181.327,0,N/A,0,N/A
20.386,vehA,27.273,2939.158,7178.797,0,N/A,0,N/A
20.486,vehA,27.361,2940.180,7176.259,0,N/A,0,N/A
20.586,vehA,27.450,2941.206,7173.713,0,N/A,0,N/A
20.686,vehA,27.519,2942.234,7171.161,0,N/A,0,N/A
20.786,vehA,27.592,2943.265,7168.601,0,N/A,0,N/A
20.886,vehA,27.666,2944.298,7166.035,0,N/A,0,N/A
20.986,vehA,27.722,2945.334,7163.464,0,N/A,0,N/A
21.086,vehA,27.802,2946.373,7160.885,0,N/A,0,N/A
21.186,vehA,27.872,2947.414,7158.300,0,N/A,0,N/A
21.286,vehA,27.930,2948.458,7155.709,0,N/A,0,N/A
21.386,vehA,28.026,2949.505,7153.109,0,N/A,0,N/A
21.486,vehA,28.095,2950.555,7150.503,0,N/A,0,N/A
21.586,vehA,28.192,2951.608,7147.888,0,N/A,0,N/A
21.686,vehA,28.261,2952.664,7145.267,0,N/A,0,N/A
21.786,vehA,28.313,2953.751,7142.658,0,N/A,0,N/A
21.886,vehA,28.397,2954.997,7140.106,0,N/A,0,N/A
21.986,vehA,28.475,2956.245,7137.546,0,N/A,0,N/A
22.086,vehA,28.574,2957.498,7134.978,0,N/A,0,N/A
22.186,vehA,28.658,2958.754,7132.403,0,N/A,0,N/A
22.286,vehA,28.733,2960.014,7129.820,0,N/A,0,N/A
22.386,vehA,28.821,2961.278,7127.230,0,N/A,0,N/A
22.486,vehA,28.880,2962.544,7124.634,0,N/A,0,N/A
22.586,vehA,28.947,2963.813,7122.032,0,N/A,0,N/A
22.686,vehA,29.028,2965.086,7119.423,0,N/A,0,N/A
22.786,vehA,29.127,2966.363,7116.806,0,N/A,0,N/A
22.886,vehA,29.180,2967.642,7114.183,0,N/A,0,N/A
22.986,vehA,29.245,2968.924,7111.554,0,N/A,0,N/A
23.086,vehA,29.306,2970.209,7108.920,0,N/A,0,N/A
23.186,vehA,29.360,2971.496,7106.282,0,N/A,0,N/A
23.286,vehA,29.433,2972.787,7103.636,0,N/A,0,N/A
23.386,vehA,29.522,2974.081,7100.983,0,N/A,0,N/A
23.486,vehA,29.581,2975.378,7098.324,0,N/A,0,N/A
23.586,vehA,29.676,2976.679,7095.657,0,N/A,0,N/A
23.686,vehA,29.751,2977.983,7092.983,0,N/A,0,N/A
23.786,vehA,29.810,2979.290,7090.304,0,N/A,0,N/A
23.886,vehA,29.889,2980.601,7087.618,0,N/A,0,N/A
23.986,vehA,29.980,2981.915,7084.923,0,N/A,0,N/A
24.086,vehA,30.036,2983.232,7082.223,0,N/A,0,N/A
24.186,vehA,30.118,2984.553,7079.517,0,N/A,0,N/A
24.286,vehA,30.200,2985.877,7076.802,0,N/A,0,N/A
24.386,vehA,30.283,2987.204,7074.080,0,N/A,0,N/A
24.486,vehA,30.350,2988.535,7071.353,0,N/A,0,N/A
24.586,vehA,30.425,2989.869,7068.618,0,N/A,0,N/A
24.686,vehA,30.508,2991.206,7065.876,0,N/A,0,N/A
24.786,vehA,30.562,2992.546,7063.129,0,N/A,0,N/A
24.886,vehA,30.655,2993.890,7060.374,0,N/A,0,N/A
24.986,vehA,30.746,2995.238,7057.611,0,N/A,0,N/A
